Rk,Season,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,two_P,two_PA, two_P%,three_P,three_PA,three_P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2018-19,2018-11-06,Vanderbilt,,North Alabama,REG,L,1,31,5,13,.385,4,7,.571,1,6,.167,0,0,,5,2,7,1,0,0,3,3,11
2,2018-19,2018-11-09,Vanderbilt,@,Middle Tennessee,REG,L,1,27,1,7,.143,0,3,.000,1,4,.250,1,2,.500,4,3,7,1,1,0,2,2,4
3,2018-19,2018-11-12,Vanderbilt,,Austin Peay,REG,W,0,23,3,5,.600,2,3,.667,1,2,.500,6,8,.750,1,5,6,2,0,0,0,2,13
4,2018-19,2018-11-15,Vanderbilt,@,NC State,REG,L,0,20,1,5,.200,1,3,.333,0,2,.000,1,2,.500,1,2,3,1,0,0,2,0,3
5,2018-19,2018-11-17,Vanderbilt,@,UConn,REG,L,1,33,3,12,.250,1,3,.333,2,9,.222,0,0,,0,3,3,2,3,0,4,4,8
6,2018-19,2018-11-21,Vanderbilt,,Tennessee State,REG,W,1,38,5,13,.385,2,6,.333,3,7,.429,7,8,.875,2,4,6,1,1,0,1,5,20
7,2018-19,2018-11-25,Vanderbilt,,Presbyterian,REG,W,1,32,9,13,.692,6,8,.750,3,5,.600,1,1,1.000,2,2,4,4,0,0,3,3,22
8,2018-19,2018-12-02,Vanderbilt,@,Kansas State,REG,L,1,30,3,8,.375,3,7,.429,0,1,.000,2,4,.500,1,1,2,3,2,0,1,2,8
9,2018-19,2018-12-06,Vanderbilt,@,Ball State,REG,W,1,6,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,2,0,0,0,2,0
10,2018-19,2019-01-24,Vanderbilt,,Ole Miss,REG,W,0,13,3,8,.375,3,5,.600,0,3,.000,1,2,.500,1,2,3,0,1,0,1,3,7
