ncaa_id,TeamFull,Conference
2,Abilene Christian Wildcats,WAC WBB
721,Air Force Falcons,MWC WBB
5,Akron Zips,MAC WBB
8,Alabama Crimson Tide,SEC WBB
6,Alabama A&M Lady Bulldogs,SWAC WBB
7,Alabama State Lady Hornets,SWAC WBB
17,Alcorn State Lady Braves,SWAC WBB
23,American Eagles,Patriot WBB
27,Appalachian State Mountaineers,Sun Belt WBB
29,Arizona Wildcats,Pac-12 WBB
28,Arizona State Sun Devils,Pac-12 WBB
31,Arkansas Razorbacks,SEC WBB
2678,Arkansas-Pine Bluff Golden Lions,SWAC WBB
725,Army Black Knights,Patriot WBB
37,Auburn Tigers,SEC WBB
43,Austin Peay Lady Govs,A-Sun WBB
47,Ball State Cardinals,MAC WBB
51,Baylor Bears,Big 12 WBB
52,Bellarmine Knights,A-Sun WBB
14927,Belmont Bruins,MVC WBB
61,Bethune-Cookman Wildcats,SWAC WBB
62,Binghamton Bearcats,AEC WBB
66,Boise State Broncos,MWC WBB
67,Boston College Eagles,ACC WBB
72,Bradley Braves,MVC WBB
77,BYU Cougars,WCC WBB
80,Brown Bears,Ivy WBB
81,Bryant Bulldogs,AEC WBB
83,Bucknell Bison,Patriot WBB
86,Buffalo Bulls,MAC WBB
87,Butler Bulldogs,Big East WBB
90,Cal Poly Mustangs,Big West WBB
94,Cal State Bakersfield Roadrunners,Big West WBB
97,Cal State Fullerton Titans,Big West WBB
107,California Golden Bears,Pac-12 WBB
30135,California Baptist Lancers,WAC WBB
115,Campbell Fighting Camels,Big South WBB
116,Canisius Golden Griffins,MAAC WBB
1004,Central Arkansas Sugar Bears,A-Sun WBB
128,UCF Knights,AAC WBB
129,Central Michigan Chippewas,MAC WBB
48,Charleston Southern Lady Bucs,Big South WBB
458,Charlotte 49ers,CUSA WBB
693,Chattanooga Mocs,Southern WBB
136,Chicago State Cougars,Independent
140,Cincinnati Bearcats,AAC WBB
147,Clemson Tigers,ACC WBB
148,Cleveland State Vikings,Horizon WBB
149,Coastal Carolina Chanticleers,Sun Belt WBB
153,Colgate Raiders,Patriot WBB
1014,College of Charleston Cougars,CAA WBB
157,Colorado Buffaloes,Pac-12 WBB
158,Columbia Lions,Ivy WBB
165,Coppin State Eagles,MEAC WBB
167,Cornell Big Red,Ivy WBB
169,Creighton Bluejays,Big East WBB
172,Dartmouth Big Green,Ivy WBB
173,Davidson Wildcats,A-10 WBB
175,Dayton Flyers,A-10 WBB
180,Delaware Fightin' Blue Hens,CAA WBB
178,Delaware State Hornets,MEAC WBB
183,Denver Pioneers,Summit WBB
176,DePaul Blue Demons,Big East WBB
