recipient_name,recipient_state,n,percentage
UBER EATS,CA,25,40.32258064516129
WAWA,NJ,15,24.193548387096776
ARIA RESORT,NV,3,4.838709677419355
"CITY MARKET - ASPEN, CO",CO,3,4.838709677419355
BLUEPRINT CAFE,NJ,2,3.225806451612903
CAFE GRATITUDE,CA,2,3.225806451612903
SWEETGREEN- BOSTON,MA,2,3.225806451612903
"WHOLE FOODS - WASHINGTON, DC",DC,2,3.225806451612903
CACHE CACHE,CO,1,1.6129032258064515
FELICE URBAN CAFE,OH,1,1.6129032258064515
MATSUHISA,CO,1,1.6129032258064515
PYRAMID BISTRO,CO,1,1.6129032258064515
THE BUTCHER'S DAUGHTER,NY,1,1.6129032258064515
THE SNOW LODGE,CO,1,1.6129032258064515
"TRADER JOE'S - WASHINGTON, DC",DC,1,1.6129032258064515
"WESTIN - CLEVELAND, OH",OH,1,1.6129032258064515
