recipient_name,recipient_state,total_spent,perc_meals
UBER EATS,CA,809.23,16.081197897518955
CACHE CACHE,CO,650.59,12.928668660512905
THE SNOW LODGE,CO,611.54,12.152658406446548
FELICE URBAN CAFE,OH,419.12,8.328845523285276
WAWA,NJ,418.88,8.324076190097673
PYRAMID BISTRO,CO,405,8.048249754081258
MATSUHISA,CO,402.27,7.993998589072265
"CITY MARKET - ASPEN, CO",CO,249.91000000000003,4.966266903808512
CAFE GRATITUDE,CA,214.89,4.27034170285067
THE BUTCHER'S DAUGHTER,NY,202.86,4.031278876822035
"TRADER JOE'S - WASHINGTON, DC",DC,154.73,3.074828850491341
SWEETGREEN- BOSTON,MA,153.46,3.0495911290402713
ARIA RESORT,NV,130.63,2.5959083095694684
"WHOLE FOODS - WASHINGTON, DC",DC,106.48,2.1159941575668455
BLUEPRINT CAFE,NJ,92.56,1.8393728326858303
"WESTIN - CLEVELAND, OH",OH,10,0.1987222161501545
