team,name,year_clean,position_clean,height_clean,hometown_clean,hs_clean,division,conference
Boston College,Kaylah Ivey,Junior,GUARD,"5'8""","FORESTVILLE, MD",Riverdale Baptist School,I,ACC
Boston College,Maria Gakdeng,Sophomore,FORWARD/CENTER,"6'3""","LANHAM, MD",New Hope Academy,I,ACC
St. Bonaventure,Kaitlyn Parker,Junior,GUARD,"5'9""","SUITLAND, MD",Dr. Henry A. Wise,I,Atlantic 10
Clemson,Brie Perpignan,Graduate Student,GUARD,5-8,"UPPER MARLBORO, MD",Bishop O'Connell,I,ACC
Coppin State,Mossi Staples,Junior,GUARD,"5'7""","FORT WASHINGTON, MD",Oxon Hill HS,I,MEAC
Coppin State,Hope Evans,Sophomore,GUARD,"5'5""","BOWIE, MD",Bishop McNamara HS,I,MEAC
Coppin State,Charia Roberts,Junior,FORWARD,"6'0""","PIKESVILLE, MD",Pikesville HS,I,MEAC
Coppin State,Jaia Alexander,Graduate Student,GUARD,"5'11""","BALTIMORE, MD",Roland Park Country School,I,MEAC
Coppin State,LaShawna Robinson,Junior,FORWARD,"6'1""","SEAT PLEASANT, MD",Charles H. Flowers HS,I,MEAC
Georgetown,Kennedy Fauntleroy,Freshman,GUARD,"5'7""","UPPER MARLBORO, MD",New Hope Academy,I,Big East
George Washington,Caia Loving,Freshman,CENTER,"6'2""","UPPER MARLBORO, MD",Riverdale Baptist,I,Atlantic 10
George Washington,Mayowa Taiwo,Senior,FORWARD,"6'0""","HANOVER, MD",Rockbridge Academy,I,Atlantic 10
Illinois,Jayla Oden,Sophomore,GUARD,"5'9""","BALTIMORE, MD",McDonogh High School,I,Big Ten
LaSalle,Kayla Spruill,Graduate Student,GUARD/FORWARD,"6'0""","BALTIMORE, MD",Western School of Technology and Environmental Science,I,Atlantic 10
Mount St. Mary's,Jasmine Lindsay-Huskey,Sophomore,GUARD,"5'10""","MIDDLETOWN, MD",St. John's Catholic Prep,I,MAAC
Mount St. Mary's,Jessica Tomasetti,Junior,GUARD,"5'5""","NORTH POTOMAC, MD",Our Lady of Good Counsel,I,MAAC
Princeton,Ellie Mitchell,Junior,FORWARD,"6'1""","CHEVY CHASE, MD",Georgetown Visitation Prep,I,Ivy League
Princeton,Parker Hill,Sophomore,FORWARD,"6'4""","BETHESDA, MD",Winston Churchill,I,Ivy League
Princeton,Chet Nweke,Junior,GUARD,"6'0""","WOODBINE, MD",Stone Ridge,I,Ivy League
Arkansas,Saylor Poffenbarger,Freshman,GUARD,6-2,"MIDDLETOWN, MD",Middletown HS,I,SEC
Arkansas,Makayla Daniels,Senior,GUARD,5-8,"FREDERICK, MD",Frederick HS,I,SEC
Robert Morris,Natalie Johnson,Freshman,GUARD,"5'8""","WALDORF, MD",Northpoint,I,Horizon
St. John's,JaKayla Brown,Graduate Student,GUARD,"5'10""","LA PLATA, MD",St. Mary's Ryken,I,Big East
Temple,Aleah Nelson,Senior,GUARD,5' 6'',"BALTIMORE, MD",McDonogh,I,AAC
Temple,Makayla Waleed,Sophomore,GUARD,5' 8'',"UPPER MARLBORO, MD",Emerge Academy,I,AAC
Temple,Aniya Gourdine,Sophomore,GUARD,5' 9'',"BALTIMORE, MD",St. Frances Academy,I,AAC
Temple,Rayne Tucker,Senior,FORWARD,6' 1'',"NEW CARROLLTON, MD",Riverdale Baptist,I,AAC
Temple,Jalynn Holmes,Graduate Student,GUARD,5' 10'',"UPPER MARLBORO, MD",Riverdale Baptist,I,AAC
Albany,Kayla Cooper,Junior,GUARD,"6'0""","FREDERICK, MD",St. John's Catholic Prep,I,America East
Central Florida,Taylor Gibson,Sophomore,FORWARD,"6'2""","UPPER MARLBORO, MD",Bishop McNamara,I,AAC
UCLA,Kiki Rice,Freshman,GUARD,"5'11""","BETHESDA, MD",Sidwell Friends School,I,Pac-12
Louisville,Jalyn Brown,Freshman,GUARD,"6'0""","BALTIMORE, MD",St. Frances Academy,I,ACC
Bethune-Cookman,Daimoni Dorsey,Freshman,GUARD,"5'7""","BALTIMORE, MD",St. Frances Academy,I,SWAC
Binghamton,Denai Bowman,Senior,GUARD,"5'9""","CLINTON, MD",Gwynn Park,I,America East
Binghamton,Zahra Barnes,Senior,GUARD,"5'7""","ROCKVILLE, MD",Good Counsel,I,America East
Maine,Katie White,Junior,FORWARD,"6'2""","LA PLATA, MARYLAND",St. Mary's Ryken,I,America East
Presbyterian College,Laila Grant,Junior,GUARD,"5'7""","DERWOOD, MD",Academy of the Holy Cross,I,Big South
Brigham Young,Rose Bubakar,Sophomore,FORWARD,6-0,"FREDERICK, MARYLAND",Frederick High School,I,WCC
Cleveland State,Amele Ngwafang,Senior,FORWARD,6-0,"SILVER SPRING, MD",Paintbranch,I,Horizon
Colgate,Morgan McMahon,Sophomore,GUARD,"5'10""","HAGERSTOWN, MD",Saint James School,I,Patriot
Colgate,Sophia Diehl,Sophomore,FORWARD,"6'1""","WESTMINSTER, MD",Roland Park County School,I,Patriot
