hs_clean,n
Bishop McNamara,7
Riverdale Baptist,7
McDonogh,6
New Hope Academy,6
St. John's College HS,6
Our Lady of Good Counsel,5
St. Frances Academy,5
National Christian Academy,4
Roland Park Country School,4
Oxon Hill HS,3
Archbishop Spalding,2
Baltimore Poly Institute,2
Eleanor Roosevelt,2
Emerge Christian Academy,2
Frederick HS,2
Gwynn Park,2
Howard High School,2
Long Reach,2
Saint James School,2
St. Francis Academy,2
St. John's Catholic Prep,2
St. Mary's Ryken,2
St. Vincent Pallotti,2
Western HS,2
Academy of the Holy Cross,1
Archbishop Carroll,1
Bethesda Chevy Chase HS,1
Bishop Ireton HS,1
Bishop O'Connell,1
C.H. Flowers HS,1
Charles H. Flowers HS,1
CMIT Academy North,1
Dr. Henry A. Wise,1
Elizabeth Seton HS,1
Emerge Academy,1
Forestville,1
Frederick Douglass HS,1
Gaithersburg,1
Georgetown Visitation Prep,1
Good Counsel,1
Governor Thomas Johnson,1
Holy Child,1
Howard,1
Largo High,1
Laurel HS,1
Legacy Early College,1
Manchester Valley,1
Maret HS,1
Maret School,1
Maryvale Prep,1
Middletown HS,1
New Town High School,1
Northpoint,1
Old Mill High School,1
Paint Branch,1
Paint Branch High School,1
Paintbranch,1
Parkdale HS,1
Perry Hall,1
Pikesville HS,1
Rock Creek Christian Academy,1
Rockbridge Academy,1
Roland Park HS,1
Saint Vincent Palotti,1
Sanford School,1
Seton HS,1
Sidwell Friends School,1
St. Andrew's Episcopal,1
Stone Ridge,1
The Bullis School,1
The Tome School,1
Walt Whitman,1
Western School of Technology and Environmental Science,1
Western Tech,1
Westminster HS,1
Winston Churchill,1
