GEOID,NAME,variable,estimate,moe,year
2400125,"Aberdeen city, Maryland",population,16176,37,2021
2400175,"Aberdeen Proving Ground CDP, Maryland",population,2862,602,2021
2400200,"Abingdon CDP, Maryland",population,5320,696,2021
2400225,"Accident town, Maryland",population,342,78,2021
2400250,"Accokeek CDP, Maryland",population,12241,1456,2021
2400350,"Adamstown CDP, Maryland",population,2212,560,2021
2400400,"Adelphi CDP, Maryland",population,16977,1504,2021
2400712,"Algonquin CDP, Maryland",population,1010,256,2021
2400800,"Allen CDP, Maryland",population,433,310,2021
2401450,"Andrews AFB CDP, Maryland",population,3419,516,2021
2401600,"Annapolis city, Maryland",population,40581,40,2021
2401635,"Annapolis Neck CDP, Maryland",population,13059,1420,2021
2401750,"Antietam CDP, Maryland",population,67,55,2021
2401925,"Aquasco CDP, Maryland",population,806,225,2021
2401975,"Arbutus CDP, Maryland",population,19662,1256,2021
2402025,"Arden on the Severn CDP, Maryland",population,1386,295,2021
2402275,"Arnold CDP, Maryland",population,25056,1502,2021
2402762,"Ashton-Sandy Spring CDP, Maryland",population,6230,741,2021
2402825,"Aspen Hill CDP, Maryland",population,53850,2965,2021
2403500,"Baden CDP, Maryland",population,1832,373,2021
2403514,"Bagtown CDP, Maryland",population,498,173,2021
2403575,"Bakersville CDP, Maryland",population,0,13,2021
2403800,"Ballenger Creek CDP, Maryland",population,23114,1256,2021
2404000,"Baltimore city, Maryland",population,592211,NA,2021
2404050,"Baltimore Highlands CDP, Maryland",population,7506,986,2021
2404250,"Barclay town, Maryland",population,181,106,2021
2404475,"Barnesville town, Maryland",population,169,121,2021
2404525,"Barrelville CDP, Maryland",population,43,25,2021
2404625,"Barton town, Maryland",population,550,193,2021
2404650,"Bartonsville CDP, Maryland",population,2176,413,2021
2405250,"Beaver Creek CDP, Maryland",population,550,176,2021
2405525,"Bel Air CDP, Maryland",population,1540,466,2021
2405550,"Bel Air town, Maryland",population,10663,34,2021
2405825,"Bel Air North CDP, Maryland",population,30969,1398,2021
2405950,"Bel Air South CDP, Maryland",population,56928,2177,2021
2406400,"Beltsville CDP, Maryland",population,18769,1428,2021
2406550,"Benedict CDP, Maryland",population,132,97,2021
2406662,"Bensville CDP, Maryland",population,14483,1336,2021
2406800,"Berlin town, Maryland",population,4950,18,2021
2406925,"Berwyn Heights town, Maryland",population,3317,37,2021
2407125,"Bethesda CDP, Maryland",population,66294,2719,2021
2407200,"Betterton town, Maryland",population,410,119,2021
2407285,"Bier CDP, Maryland",population,169,130,2021
2407375,"Big Pool CDP, Maryland",population,60,53,2021
2407400,"Big Spring CDP, Maryland",population,43,56,2021
2407625,"Bishopville CDP, Maryland",population,550,295,2021
2407675,"Bivalve CDP, Maryland",population,85,108,2021
2407850,"Bladensburg town, Maryland",population,9591,26,2021
2408050,"Bloomington CDP, Maryland",population,201,116,2021
2408625,"Boonsboro town, Maryland",population,3757,15,2021
2408775,"Bowie city, Maryland",population,58113,80,2021
2408800,"Bowleys Quarters CDP, Maryland",population,6447,859,2021
2408850,"Bowling Green CDP, Maryland",population,1282,248,2021
2408862,"Bowmans Addition CDP, Maryland",population,821,351,2021
2409100,"Braddock Heights CDP, Maryland",population,2984,737,2021
2409325,"Brandywine CDP, Maryland",population,9852,702,2021
2409400,"Breathedsville CDP, Maryland",population,234,253,2021
2409500,"Brentwood town, Maryland",population,3775,24,2021
2410150,"Brock Hall CDP, Maryland",population,12764,1236,2021
2410225,"Brookeville town, Maryland",population,158,53,2021
2410475,"Brooklyn Park CDP, Maryland",population,15541,1038,2021
2410500,"Brookmont CDP, Maryland",population,3841,562,2021
2410575,"Brookview town, Maryland",population,49,23,2021
2410650,"Broomes Island CDP, Maryland",population,583,225,2021
2410737,"Brown Station CDP, Maryland",population,3463,993,2021
2410800,"Brownsville CDP, Maryland",population,34,60,2021
2410900,"Brunswick city, Maryland",population,7578,25,2021
2410925,"Bryans Road CDP, Maryland",population,8502,1083,2021
2410950,"Bryantown CDP, Maryland",population,495,206,2021
2411050,"Buckeystown CDP, Maryland",population,1397,365,2021
2411400,"Burkittsville town, Maryland",population,131,37,2021
2411550,"Burnt Mills CDP, Maryland",population,4215,1202,2021
2411750,"Burtonsville CDP, Maryland",population,10457,1434,2021
2411900,"Butlertown CDP, Maryland",population,505,214,2021
2412075,"Cabin John CDP, Maryland",population,2335,391,2021
2412150,"California CDP, Maryland",population,14129,1142,2021
2412175,"Callaway CDP, Maryland",population,1363,325,2021
2412300,"Calvert Beach CDP, Maryland",population,850,289,2021
2412350,"Calverton CDP, Maryland",population,17772,1288,2021
2412400,"Cambridge city, Maryland",population,13026,27,2021
2412600,"Camp Springs CDP, Maryland",population,22903,1933,2021
2412912,"Cape St. Claire CDP, Maryland",population,8762,702,2021
2413000,"Capitol Heights town, Maryland",population,4083,22,2021
2413225,"Carlos CDP, Maryland",population,54,29,2021
2413325,"Carney CDP, Maryland",population,29873,1649,2021
2414125,"Catonsville CDP, Maryland",population,42789,2561,2021
2414225,"Cavetown CDP, Maryland",population,973,324,2021
2414300,"Cearfoss CDP, Maryland",population,145,144,2021
2414325,"Cecilton town, Maryland",population,808,262,2021
2414550,"Cedar Heights CDP, Maryland",population,2145,986,2021
2414800,"Cedarville CDP, Maryland",population,653,242,2021
2414950,"Centreville town, Maryland",population,4640,19,2021
2415075,"Chance CDP, Maryland",population,344,115,2021
2415400,"Charlestown town, Maryland",population,1819,403,2021
2415475,"Charlotte Hall CDP, Maryland",population,1447,448,2021
2415500,"Charlton CDP, Maryland",population,442,270,2021
2415925,"Chesapeake Beach town, Maryland",population,6303,21,2021
2415950,"Chesapeake City town, Maryland",population,788,211,2021
2416025,"Chesapeake Landing CDP, Maryland",population,160,115,2021
2416050,"Chesapeake Ranch Estates CDP, Maryland",population,9387,840,2021
2416125,"Chester CDP, Maryland",population,4371,542,2021
2416225,"Chestertown town, Maryland",population,5557,21,2021
2416550,"Cheverly town, Maryland",population,6191,51,2021
2416620,"Chevy Chase town, Maryland",population,2913,27,2021
2416625,"Chevy Chase CDP, Maryland",population,9889,640,2021
2416720,"Chevy Chase Section Five village, Maryland",population,797,171,2021
2416730,"Chevy Chase Section Three village, Maryland",population,982,177,2021
2416775,"Chevy Chase View town, Maryland",population,1103,229,2021
2416787,"Chevy Chase Village town, Maryland",population,1858,167,2021
2416800,"Chewsville CDP, Maryland",population,343,188,2021
2416875,"Chillum CDP, Maryland",population,36428,1874,2021
2417000,"Choptank CDP, Maryland",population,99,74,2021
2417050,"Church Creek town, Maryland",population,78,31,2021
2417100,"Church Hill town, Maryland",population,1123,249,2021
2417350,"Clarksburg CDP, Maryland",population,27354,1842,2021
2417475,"Clarysville CDP, Maryland",population,42,55,2021
2417600,"Clear Spring town, Maryland",population,443,179,2021
2417900,"Clinton CDP, Maryland",population,39925,1499,2021
2418150,"Cloverly CDP, Maryland",population,16473,1325,2021
2418200,"Cobb Island CDP, Maryland",population,1262,473,2021
2418250,"Cockeysville CDP, Maryland",population,23803,1521,2021
2418475,"Colesville CDP, Maryland",population,14468,1385,2021
2418750,"College Park city, Maryland",population,34961,40,2021
2418850,"Colmar Manor town, Maryland",population,1544,353,2021
2419125,"Columbia CDP, Maryland",population,105086,2575,2021
2419825,"Coral Hills CDP, Maryland",population,9169,870,2021
2419900,"Cordova CDP, Maryland",population,318,211,2021
2419975,"Corriganville CDP, Maryland",population,760,253,2021
2420050,"Cottage City town, Maryland",population,1089,196,2021
2420500,"Crellin CDP, Maryland",population,49,50,2021
2420525,"Cresaptown CDP, Maryland",population,5575,658,2021
2420775,"Crisfield city, Maryland",population,2533,491,2021
2420875,"Crofton CDP, Maryland",population,29812,1742,2021
2420925,"Croom CDP, Maryland",population,2756,522,2021
2421075,"Crownsville CDP, Maryland",population,1273,375,2021
2421150,"Crumpton CDP, Maryland",population,402,157,2021
2421325,"Cumberland city, Maryland",population,19028,31,2021
2421475,"Damascus CDP, Maryland",population,16945,1315,2021
2421550,"Dames Quarter CDP, Maryland",population,109,119,2021
2421675,"Danville CDP, Maryland",population,449,353,2021
2421750,"Dargan CDP, Maryland",population,189,126,2021
2421800,"Darlington CDP, Maryland",population,524,177,2021
2421825,"Darnestown CDP, Maryland",population,6647,665,2021
2421925,"Dawson CDP, Maryland",population,46,38,2021
2422050,"Deale CDP, Maryland",population,4710,631,2021
2422100,"Deal Island CDP, Maryland",population,279,80,2021
2422275,"Deer Park town, Maryland",population,341,99,2021
2422600,"Delmar town, Maryland",population,3748,13,2021
2422725,"Denton town, Maryland",population,4712,23,2021
2422775,"Derwood CDP, Maryland",population,1700,332,2021
2422825,"Detmold CDP, Maryland",population,243,112,2021
2423025,"District Heights city, Maryland",population,5927,38,2021
2423500,"Downsville CDP, Maryland",population,776,709,2021
2423700,"Drum Point CDP, Maryland",population,3007,775,2021
2423975,"Dundalk CDP, Maryland",population,66426,2687,2021
2424050,"Dunkirk CDP, Maryland",population,2299,356,2021
2424200,"Eagle Harbor town, Maryland",population,46,40,2021
2424250,"Eakles Mill CDP, Maryland",population,0,13,2021
2424450,"East New Market town, Maryland",population,392,186,2021
2424475,"Easton town, Maryland",population,16912,47,2021
2424650,"East Riverdale CDP, Maryland",population,17136,1416,2021
2424825,"Eckhart Mines CDP, Maryland",population,373,197,2021
2424850,"Eden CDP, Maryland",population,855,294,2021
2424925,"Edesville CDP, Maryland",population,108,74,2021
2424950,"Edgemere CDP, Maryland",population,8915,995,2021
2425000,"Edgemont CDP, Maryland",population,250,84,2021
2425050,"Edgewater CDP, Maryland",population,9075,888,2021
2425150,"Edgewood CDP, Maryland",population,25004,1650,2021
2425425,"Edmonston town, Maryland",population,1577,406,2021
2425575,"Eldersburg CDP, Maryland",population,30418,1099,2021
2425600,"Eldorado town, Maryland",population,71,38,2021
2425750,"Elkridge CDP, Maryland",population,24115,1811,2021
2425800,"Elkton town, Maryland",population,15724,28,2021
2425925,"Ellerslie CDP, Maryland",population,557,170,2021
2426000,"Ellicott City CDP, Maryland",population,74432,2246,2021
2426025,"Elliott CDP, Maryland",population,10,15,2021
2426200,"Emmitsburg town, Maryland",population,2769,23,2021
2426550,"Ernstville CDP, Maryland",population,20,31,2021
2426600,"Essex CDP, Maryland",population,40710,2131,2021
2427250,"Fairland CDP, Maryland",population,25324,2128,2021
2427325,"Fairlee CDP, Maryland",population,478,191,2021
2427375,"Fairmount CDP, Maryland",population,402,177,2021
2427400,"Fairmount Heights town, Maryland",population,1455,355,2021
2427425,"Fairplay CDP, Maryland",population,418,124,2021
2427500,"Fairview CDP, Maryland",population,17,28,2021
2427580,"Fairwood CDP, Maryland",population,7453,1090,2021
2427700,"Fallston CDP, Maryland",population,9696,1035,2021
2427900,"Federalsburg town, Maryland",population,2824,28,2021
2428075,"Ferndale CDP, Maryland",population,17113,1476,2021
2428275,"Finzel CDP, Maryland",population,878,376,2021
2428300,"Fishing Creek CDP, Maryland",population,239,129,2021
2428425,"Flintstone CDP, Maryland",population,283,162,2021
2428512,"Flower Hill CDP, Maryland",population,14213,1295,2021
2428640,"Forest Glen CDP, Maryland",population,6942,1089,2021
2428725,"Forest Heights town, Maryland",population,2652,42,2021
2429000,"Forestville CDP, Maryland",population,10575,902,2021
2429400,"Fort Meade CDP, Maryland",population,11253,1436,2021
2429450,"Fort Ritchie CDP, Maryland",population,0,13,2021
2429525,"Fort Washington CDP, Maryland",population,25840,1818,2021
2429712,"Fountainhead-Orchard Hills CDP, Maryland",population,6113,933,2021
2429790,"Four Corners CDP, Maryland",population,8131,884,2021
2430100,"Franklin CDP, Maryland",population,172,94,2021
2430325,"Frederick city, Maryland",population,76376,58,2021
2430567,"Frenchtown-Rumbly CDP, Maryland",population,24,38,2021
2430575,"Friendly CDP, Maryland",population,10192,904,2021
2430650,"Friendship CDP, Maryland",population,390,158,2021
2430800,"Friendship Heights Village CDP, Maryland",population,4595,377,2021
2430850,"Friendsville town, Maryland",population,436,123,2021
2430900,"Frostburg city, Maryland",population,7282,17,2021
2430950,"Fruitland city, Maryland",population,5455,24,2021
2431025,"Fulton CDP, Maryland",population,5230,531,2021
2431100,"Funkstown town, Maryland",population,889,241,2021
2431175,"Gaithersburg city, Maryland",population,68827,103,2021
2431225,"Galena town, Maryland",population,716,249,2021
2431250,"Galestown town, Maryland",population,75,46,2021
2431275,"Galesville CDP, Maryland",population,1267,607,2021
2431350,"Gambrills CDP, Maryland",population,3185,359,2021
2431400,"Gapland CDP, Maryland",population,70,98,2021
2431525,"Garrett Park town, Maryland",population,864,143,2021
2431575,"Garretts Mill CDP, Maryland",population,299,170,2021
2431625,"Garrison CDP, Maryland",population,9727,1107,2021
2431875,"Georgetown CDP, Maryland",population,42,56,2021
2432025,"Germantown CDP, Maryland",population,90235,3030,2021
2432175,"Gilmore CDP, Maryland",population,332,286,2021
2432250,"Girdletree CDP, Maryland",population,106,62,2021
2432350,"Glassmanor CDP, Maryland",population,17426,1454,2021
2432500,"Glenarden city, Maryland",population,6341,32,2021
2432650,"Glen Burnie CDP, Maryland",population,69739,2492,2021
2432900,"Glen Echo town, Maryland",population,291,83,2021
2433250,"Glenmont CDP, Maryland",population,15795,1077,2021
2433400,"Glenn Dale CDP, Maryland",population,15426,1652,2021
2433850,"Golden Beach CDP, Maryland",population,3755,881,2021
